Species	Size	Guild	Life form	Attachment	Nitrogen fixing	Pollution tolerance	Trophic preference	Oxygen requirement
Encyonema auerswaldii	Macro	Motile	Unicellular life form	Strong attachment	N	2	6.271	2.094
Encyonema brevicapitatum	Micro	High profile	Colonial life form	Weak attachment	N	1	6.447	1.997
Encyonema caespitosum	Micro	High profile	Colonial life form	Weak attachment	N	1.35	7	2.088
Encyonema elginense	Micro	High profile	Colonial life form	Weak attachment	N	1	6.43	2.03
Encyonema elginense var. stigmoideum	Micro	High profile	Colonial life form	Weak attachment	N	1.506	6.624	2.11
Encyonema gracile	Micro	High profile	Colonial life form	Weak attachment	N	1	6.628	2.146
Encyonema hophense	Micro	High profile	Colonial life form	Weak attachment	N	1.323	6.519	1.657
Encyonema lacustre	Micro	High profile	Colonial life form	Weak attachment	N	1	6.589	2.11
Encyonema lange-bertalotii	Micro	Motile	Colonial life form	Strong attachment	N	1.169	6.562	1.965
Encyonema latens	Micro	High profile	Colonial life form	Weak attachment	N	2	6.548	2.076
Encyonema leei	Micro	High profile	Colonial life form	Weak attachment	N	1.372	6.668	1.914
Encyonema leibleinii	Large	Motile	Colonial life form	Strong attachment	N	1.415	6.644	2.161
Encyonema minutum	Micro	Motile	Unicellular life form	Unattached	N	2	6.307	2.144
Encyonema neogracile	Micro	Motile	Colonial life form	Strong attachment	N	1	6.191	1.963
Encyonema neomesianum	Micro	High profile	Colonial life form	Weak attachment	N	1	6.374	1.973
Encyonema perlangebertalotii	Micro	High profile	Colonial life form	Weak attachment	N	1.339	6.605	1.82
Encyonema perpusillum	Micro	High profile	Colonial life form	Weak attachment	N	1	6.556	1.96
Encyonema procerum	Macro	Motile	Colonial life form	Strong attachment	N	1.414	6.678	2.098
Encyonema prostratum	Micro	High profile	Colonial life form	Weak attachment	N	2	5	1
Encyonema reichardtii	Nano	Motile	Unicellular life form	Strong attachment	N	1.5	6.811	2.1
Encyonema silesiacum	Macro	Motile	Colonial life form	Strong attachment	N	1	7	3
Encyonema spp.	Micro	High profile	Colonial life form	Weak attachment	N	1.544	6.657	2.296
Encyonema ventricosum	Micro	High profile	Colonial life form	Weak attachment	N	1.2	6.588	2.104
Encyonema ventricosum var. angusta	Micro	High profile	Colonial life form	Weak attachment	N	1.411	6.643	1.939
Encyonema vulgare	Micro	High profile	Colonial life form	Weak attachment	N	1.349	6.648	2.131
Encyonema wojytalae	Micro	High profile	Colonial life form	Weak attachment	N	1.258	6.643	2.186
Encyonopsis alpina	Nano	Motile	Unicellular life form	Unattached	N	1	2.694	1
Encyonopsis cesatiformis	Micro	Motile	Unicellular life form	Unattached	N	1.318	2.441	1
Encyonopsis descripta	Macro	Motile	Unicellular life form	Unattached	N	1	2.604	1
Encyonopsis gomphonemiformis	Micro	High profile	Colonial life form	Weak attachment	N	1.316	2.562	1
Encyonopsis hustedtii	Nano	Motile	Unicellular life form	Unattached	N	1.343	2.396	1
Encyonopsis krammeri	Meso	Motile	Unicellular life form	Unattached	N	1	2.527	1
Encyonopsis leei	Meso	High profile	Colonial life form	Weak attachment	N	1.495	2.559	1
Encyonopsis microcephala	Nano	Motile	Unicellular life form	Weak attachment	N	2	4	1
Encyonopsis minuta	Nano	Motile	Unicellular life form	Unattached	N	2	2.589	1
Encyonopsis subminuta	Nano	Motile	Unicellular life form	Weak attachment	N	1	1	1
Entomoneis paludosa	Meso	Motile	Unicellular life form	Unattached	N	2.5	5	4
Entomoneis triundulata	Meso	High profile	Colonial life form	Weak attachment	N	2.5	5	4
Eolimna archibaldii	Micro	Motile	Colonial life form	Weak attachment	N	3.876	4	2
Eolimna comperei	Micro	Motile	Colonial life form	Weak attachment	N	4.5	4	3
Eolimna minima	Micro	Motile	Colonial life form	Weak attachment	N	3.8	3	2
Eolimna subminuscula	Micro	Motile	Colonial life form	Weak attachment	N	4	5	1
Eolimna tantula	Micro	Motile	Colonial life form	Weak attachment	N	3	5	1
Epithemia adnata	Large	Motile	Colonial life form	Weak attachment	Y	2	4.744	2
Epithemia argus	Large	Motile	Unicellular life form	Unattached	Y	2	4.654	2
Epithemia frickei	Large	Motile	Colonial life form	Weak attachment	Y	2	4.576	2
Epithemia sorex	Large	Motile	Colonial life form	Weak attachment	Y	2	5	2
Epithemia turgida	Large	Motile	Colonial life form	Weak attachment	Y	2	4	2
Eucocconeis flexella	Large	Low profile	Unicellular life form	Strong attachment	N	1	1	1
Eucocconeis laevis	Large	Low profile	Unicellular life form	Strong attachment	N	1	1	1
Eucocconeis lapponica	Large	Low profile	Unicellular life form	Strong attachment	N	1	1	1
Eunotia bilunaris	Large	High profile	Unicellular life form	Weak attachment	N	1	7	2
Eunotia botuliformis	Macro	High profile	Unicellular life form	Weak attachment	N	1	5.183	1.512
Eunotia glacialispinosa	Macro	High profile	Unicellular life form	Weak attachment	N	1.117	4.979	1.52
Eunotia incisa	Macro	Motile	Unicellular life form	Weak attachment	N	1.101	5.036	1.534
Eunotia indica	Macro	High profile	Unicellular life form	Weak attachment	N	1.064	5.521	1.505
Eunotia latinasuta	Macro	High profile	Unicellular life form	Weak attachment	N	1.075	5.576	1.504
Eunotia minor	Macro	High profile	Unicellular life form	Weak attachment	N	1.4	5.493	1.474
Eunotia muscicola	Macro	High profile	Unicellular life form	Weak attachment	N	1.104	4.332	1.472
Eunotia naegelii	Macro	High profile	Unicellular life form	Weak attachment	N	1	5.239	1.509
Eunotia obliquestriata	Macro	High profile	Unicellular life form	Weak attachment	N	1.072	5.214	1.492
Eunotia paludosa	Macro	Motile	Unicellular life form	Weak attachment	N	1	5.239	1.509
Eunotia pectinalis	Large	High profile	Unicellular life form	Weak attachment	N	1.142	3	1
Eunotia pectinalis var. minor	Macro	High profile	Unicellular life form	Weak attachment	N	1.4	4.625	1.522
Eunotia perpusilla	Nano	Low profile	Unicellular life form	Unattached	N	1.099	5.119	1.508
Eunotia pomeranica	Macro	High profile	Unicellular life form	Weak attachment	N	1.135	5.252	1.494
Eunotia scandiorussica	Macro	High profile	Unicellular life form	Weak attachment	N	1.125	4.613	1.545
Eunotia soleirolii	Macro	High profile	Unicellular life form	Weak attachment	N	1	5.338	1.512
Eunotia spp.	Macro	High profile	Unicellular life form	Weak attachment	N	1.034	5.272	1.618
Eunotia tenella	Macro	Low profile	Unicellular life form	Weak attachment	N	1	5.394	1.506
Eunotogramma laevis	Large	Low profile	Unicellular life form	Strong attachment	N	1.1	3	1
Fallacia insociabilis	Micro	Low profile	Unicellular life form	Strong attachment	N	3	5	3
Fallacia losevae	Micro	Low profile	Unicellular life form	Strong attachment	N	2.706	5	3
Fallacia pygmaea	Micro	Motile	Unicellular life form	Weak attachment	N	2.665	5	3
Fallacia spp.	Micro	Low profile	Unicellular life form	Strong attachment	N	2.634	5	3
Fallacia subhamulata	Nano	Motile	Unicellular life form	Unattached	N	2	5	3
Fallacia sublucidula	Micro	Low profile	Unicellular life form	Strong attachment	N	3	5	3
Fallacia tenera	Micro	Motile	Unicellular life form	Weak attachment	N	3	5	3
Fistulifera pelliculosa	Micro	Low profile	Unicellular life form	Strong attachment	N	3	5	4
Fistulifera saprophila	Micro	Low profile	Unicellular life form	Strong attachment	N	4	5	4
Fragilaria austriaca	Large	High profile	Unicellular life form	Weak attachment	N	1	2.745	1.671
Fragilaria bidens	Large	High profile	Unicellular life form	Weak attachment	N	1	5	1
Fragilaria brevistriata	Large	High profile	Unicellular life form	Weak attachment	N	3	3.218	1.793
Fragilaria capitellata	Large	High profile	Unicellular life form	Weak attachment	N	2	3.063	1.341
Fragilaria capucina	Large	High profile	Unicellular life form	Weak attachment	N	1.824	3	1.331
Fragilaria capucina var. mesolepta	Large	High profile	Unicellular life form	Weak attachment	N	1.5	2.627	1.349
Fragilaria capucina var. rumpens	Large	High profile	Unicellular life form	Weak attachment	N	2	3.414	1.389
Fragilaria crotonensis	Large	High profile	Unicellular life form	Unattached	N	2	3	2
Fragilaria crotonensis var. oregona	Large	High profile	Unicellular life form	Weak attachment	N	1.512	3.127	1.819
Fragilaria delicatissima	Large	High profile	Unicellular life form	Weak attachment	N	2	3	1.185
Fragilaria endosymbiont	Large	High profile	Unicellular life form	Weak attachment	N	1.828	3.225	1.339
Fragilaria fragilarioides	Large	High profile	Unicellular life form	Weak attachment	N	1	2.643	1.298
Fragilaria gracilis	Large	High profile	Unicellular life form	Weak attachment	N	1.2	2	1
Fragilaria grunowi	Large	High profile	Unicellular life form	Weak attachment	N	1.761	2.995	1.303
Fragilaria harrissonii	Large	High profile	Unicellular life form	Weak attachment	N	1.705	2.833	1.354
Fragilaria incisa	Large	High profile	Unicellular life form	Weak attachment	N	1.404	2.491	1.511
Fragilaria intermedia	Large	High profile	Unicellular life form	Weak attachment	N	2.6	3.335	1.41
Fragilaria nanana	Large	High profile	Unicellular life form	Weak attachment	N	1	2	1
Fragilaria neointermedia	Large	High profile	Unicellular life form	Weak attachment	N	1.512	2.77	1.874
Fragilaria nevadensis	Large	High profile	Unicellular life form	Weak attachment	N	1.854	3.393	1.419
Fragilaria pararumpens	Large	High profile	Unicellular life form	Weak attachment	N	1.62	2.86	2.055
Fragilaria pectinalis	Large	High profile	Unicellular life form	Weak attachment	N	1.649	2.846	1.717
Fragilaria perminuta	Large	High profile	Unicellular life form	Weak attachment	N	2	3.048	1.138
Fragilaria pinnata	Large	High profile	Unicellular life form	Weak attachment	N	1.847	3.116	1.337
Fragilaria radians	Large	High profile	Unicellular life form	Weak attachment	N	2	2.899	2.012
Fragilaria recapitellata	Large	High profile	Unicellular life form	Weak attachment	N	2	3.726	1.296
Fragilaria socia	Large	High profile	Unicellular life form	Weak attachment	N	1.586	2.857	1.323
Fragilaria spp.	Large	High profile	Unicellular life form	Weak attachment	N	1.899	3.022	1.265
Fragilaria synegrotesca	Large	High profile	Unicellular life form	Weak attachment	N	1.761	3.342	1.864
Fragilaria tenera	Large	High profile	Unicellular life form	Weak attachment	N	2	2	1
Fragilaria tenera var. lemanensis	Large	High profile	Unicellular life form	Weak attachment	N	2	2.794	1.738
Fragilaria vaucheriae	Large	High profile	Unicellular life form	Strong attachment	N	2.6	5	3
Fragilaria vaucheriae var. distans	Large	High profile	Unicellular life form	Weak attachment	N	1.2	2.936	1.67
Fragilaria vaucheriae var. elliptica	Large	High profile	Unicellular life form	Weak attachment	N	1.786	2.865	1.349
Fragilaria virescens	Large	High profile	Unicellular life form	Weak attachment	N	1	3.197	1.518
Fragilariforma mesolepta	Large	High profile	Unicellular life form	Weak attachment	N	1.733	3.04	1.505
Frustulia crassinervia	Large	Motile	Colonial life form	Unattached	N	1	1	1
Frustulia hengduanensis	Large	High profile	Unicellular life form	Weak attachment	N	1.406	1.762	1
Frustulia marginata	Large	High profile	Unicellular life form	Weak attachment	N	2	2.716	1
Frustulia rhomboides	Large	High profile	Unicellular life form	Weak attachment	N	1	2.853	1
Frustulia spp.	Large	High profile	Unicellular life form	Weak attachment	N	1.468	2.64	1
Frustulia vulgaris	Large	Motile	Unicellular life form	Strong attachment	N	2	4	1
Geissleria acceptata	Micro	High profile	Unicellular life form	Weak attachment	N	1.5	4	4
Geissleria decussis	Micro	High profile	Unicellular life form	Weak attachment	N	1.2	4	2
Geissleria ignota	Micro	Motile	Unicellular life form	Unattached	N	3	4	3
Gomphoneis olivaceoides	Meso	High profile	Colonial life form	Strong attachment	N	1	4	1
Gomphoneis olivaceum	Meso	High profile	Colonial life form	Strong attachment	N	1	4	1
Gomphonella olivacea	Meso	Motile	Colonial life form	Strong attachment	N	1.924	3.014	1.466
Gomphonema abbreviatum	Macro	High profile	Colonial life form	Strong attachment	N	4	2.783	1.574
Gomphonema acidoclinatiforme	Macro	High profile	Colonial life form	Strong attachment	N	1.5	3.154	1.591
Gomphonema acidoclinatum	Macro	High profile	Colonial life form	Strong attachment	N	1.8	2.943	1.123
Gomphonema acuminatum	Macro	Motile	Unicellular life form	Medium attachment	N	1.96	5	2
Gomphonema acuminatum var. coronata	Macro	High profile	Colonial life form	Strong attachment	N	1.97	2.862	1.58
Gomphonema aequale	Macro	High profile	Colonial life form	Strong attachment	N	1.827	2.969	1.332
Gomphonema affine	Macro	High profile	Colonial life form	Strong attachment	N	2	3	1
Gomphonema americobtusatum	Macro	Motile	Colonial life form	Weak attachment	N	1	2.916	1.242
Gomphonema angustatum	Macro	High profile	Colonial life form	Strong attachment	N	3	3.209	1.891
Gomphonema angustatum var. producta	Meso	High profile	Colonial life form	Strong attachment	N	2.2	2.839	1.578
Gomphonema angustatum?var. ?intermedium	Meso	High profile	Colonial life form	Strong attachment	N	1.907	3.273	1.378
Gomphonema angustivalva	Meso	High profile	Colonial life form	Strong attachment	N	1	3.481	1.475
Gomphonema apicatum	Macro	Motile	Unicellular life form	Medium attachment	N	3	3.208	1.48
Gomphonema asiaticum	Macro	High profile	Colonial life form	Strong attachment	N	2.158	2.621	1.347
Gomphonema augur	Macro	High profile	Colonial life form	Strong attachment	N	3	2.91	1.323
Gomphonema augur var. sphaerophorum	Macro	High profile	Colonial life form	Strong attachment	N	3	3.291	1.625
Gomphonema auritum	Macro	High profile	Colonial life form	Strong attachment	N	1	3.279	1.808
Gomphonema berggrenii	Macro	High profile	Colonial life form	Strong attachment	N	1.807	3.13	1.348
Gomphonema biceps	Macro	High profile	Colonial life form	Strong attachment	N	1	2.739	1.63
Gomphonema carolinense	Macro	High profile	Colonial life form	Strong attachment	N	3	3.019	1.319
Gomphonema clavatum	Macro	High profile	Colonial life form	Strong attachment	N	1	3	1
Gomphonema clevei	Macro	High profile	Colonial life form	Strong attachment	N	1	2.698	1.662
Gomphonema consector	Nano	High profile	Unicellular life form	Strong attachment	N	2.028	3.484	1.498
Gomphonema constrictum	Macro	High profile	Colonial life form	Strong attachment	N	1	3.169	1.618
Gomphonema constrictum var. capitata	Macro	High profile	Colonial life form	Strong attachment	N	1.839	2.951	1.518
Gomphonema constrictum var. ventricosum	Macro	High profile	Colonial life form	Strong attachment	N	1.784	3.174	1.2
Gomphonema dichotomum	Macro	High profile	Colonial life form	Strong attachment	N	1	4	1
Gomphonema exilissimum	Macro	High profile	Colonial life form	Strong attachment	N	1	1	1
Gomphonema gracile	Macro	High profile	Colonial life form	Strong attachment	N	1.8	3	1
Gomphonema gracile var. major	Macro	High profile	Colonial life form	Strong attachment	N	1	3.037	1.518
Gomphonema graciledictum	Macro	High profile	Colonial life form	Strong attachment	N	1.876	2.721	1.404
Gomphonema grunowii	Macro	High profile	Colonial life form	Strong attachment	N	1.8	1.926	1.261
Gomphonema hebridense	Macro	High profile	Colonial life form	Strong attachment	N	2	3.179	1
Gomphonema helveticum	Macro	High profile	Colonial life form	Strong attachment	N	1	2.808	1.59
Gomphonema hubeiicum	Macro	High profile	Colonial life form	Strong attachment	N	1.83	2.966	1.367
Gomphonema incognitum	Large	Motile	Unicellular life form	Strong attachment	N	1.992	2.737	1.324
Gomphonema innocens	Macro	High profile	Colonial life form	Strong attachment	N	1.858	3.082	1.331
Gomphonema insigne	Macro	High profile	Colonial life form	Strong attachment	N	2	3.313	1.325
Gomphonema insularum	Macro	Motile	Colonial life form	Strong attachment	N	1.854	2.899	1.422
Gomphonema intermedium	Macro	High profile	Colonial life form	Strong attachment	N	1.862	2.791	1.251
Gomphonema intricatum	Meso	High profile	Colonial life form	Strong attachment	N	1	1	1
Gomphonema intricatum var. dichotomum	Meso	High profile	Colonial life form	Strong attachment	N	1	3.168	1.414
Gomphonema intricatum var. fossile	Meso	High profile	Colonial life form	Strong attachment	N	1.967	2.756	1.541
Gomphonema intricatum var. pumilum	Meso	High profile	Colonial life form	Strong attachment	N	1.773	1.954	1.341
Gomphonema italicum	Macro	High profile	Colonial life form	Strong attachment	N	2	3.171	1.31
Gomphonema jadwigiae	Macro	High profile	Colonial life form	Strong attachment	N	1	1.71	1.195
Gomphonema kobayasii	Macro	Motile	Unicellular life form	Strong attachment	N	1.832	3.268	1.391
Gomphonema lagenula	Macro	Motile	Colonial life form	Strong attachment	N	4	3.184	1.573
Gomphonema lagerheimii	Macro	High profile	Colonial life form	Strong attachment	N	2	3.23	1.559
Gomphonema lanceolatum	Macro	High profile	Colonial life form	Strong attachment	N	2	3.338	1.368
Gomphonema lateripunctatum	Macro	High profile	Colonial life form	Strong attachment	N	1	3.083	1.552
Gomphonema laticollum	Macro	High profile	Colonial life form	Strong attachment	N	1	3.275	1.493
Gomphonema lingulatiformis	Macro	High profile	Colonial life form	Strong attachment	N	4	3.195	1.401
Gomphonema lippertii	Macro	High profile	Colonial life form	Strong attachment	N	1	2.83	1.427
Gomphonema medioasiae	Macro	High profile	Colonial life form	Strong attachment	N	1.944	2.732	1.609
Gomphonema meridionalum	Macro	High profile	Colonial life form	Strong attachment	N	1.699	2.244	1.254
Gomphonema mexicanum	Macro	Motile	Unicellular life form	Medium attachment	N	2.8	2.826	1.469
Gomphonema microlanceolatum	Macro	High profile	Colonial life form	Strong attachment	N	1.831	2.672	1.308
Gomphonema micropus	Macro	High profile	Colonial life form	Strong attachment	N	1.871	3.261	1.406
Gomphonema minusulum	Macro	High profile	Colonial life form	Strong attachment	N	2.574	3.182	1.399
Gomphonema minutum	Macro	High profile	Colonial life form	Strong attachment	N	1.784	5	1.825
Gomphonema montanum var. suecium	Macro	High profile	Colonial life form	Strong attachment	N	1.661	1.983	1.22
Gomphonema montanum var. acuminata	Macro	High profile	Colonial life form	Strong attachment	N	1.863	3.195	1.33
Gomphonema navicelloides	Macro	High profile	Colonial life form	Strong attachment	N	1.755	1.69	1.131
Gomphonema olivaceoides	Macro	High profile	Colonial life form	Strong attachment	N	1	2.95	1.419
Gomphonema olivaceum	Macro	High profile	Colonial life form	Strong attachment	N	2.115	3.02	2.193
Gomphonema pala	Macro	High profile	Colonial life form	Strong attachment	N	2	2.869	1.611
Gomphonema parvuliforme	Macro	High profile	Colonial life form	Strong attachment	N	1.917	2.699	1.597
Gomphonema parvulum	Macro	High profile	Colonial life form	Strong attachment	N	1.975	5	4
Gomphonema parvulum f. saprophilum	Macro	High profile	Colonial life form	Strong attachment	N	1.687	2.867	1.589
Gomphonema parvulum var. exilissimum	Micro	High profile	Colonial life form	Strong attachment	N	1	3.639	1.516
Gomphonema parvulum var. lagenula	Macro	High profile	Colonial life form	Strong attachment	N	4	3.308	1.55
Gomphonema parvulum var. subellipticum	Micro	High profile	Colonial life form	Strong attachment	N	4	3.071	1.611
Gomphonema perolivaceoides	Macro	High profile	Colonial life form	Strong attachment	N	2.13	3.352	1.624
Gomphonema preliciae	Macro	High profile	Colonial life form	Strong attachment	N	1.874	2.961	1.348
Gomphonema productum	Macro	High profile	Colonial life form	Strong attachment	N	2.2	2	1
Gomphonema pseodotenellum	Macro	High profile	Colonial life form	Strong attachment	N	1.778	3.288	1.519
Gomphonema pseudoaugur	Macro	High profile	Colonial life form	Strong attachment	N	3	3.267	1.347
Gomphonema pseudointermedium	Macro	High profile	Colonial life form	Strong attachment	N	2.03	3.377	1.587
Gomphonema pseudosphaerophorum	Macro	Motile	Unicellular life form	Strong attachment	N	3	2.927	1.575
Gomphonema pumilum	Macro	High profile	Colonial life form	Strong attachment	N	1.5	2.922	1.792
Gomphonema pumilum var. rigidum	Macro	High profile	Colonial life form	Strong attachment	N	2.5	3.216	1.737
Gomphonema punctatum	Macro	High profile	Colonial life form	Strong attachment	N	1.887	3.159	1.346
Gomphonema reimeri	Macro	Motile	Unicellular life form	Strong attachment	N	1.94	2.656	1.306
Gomphonema rhombicum	Macro	High profile	Colonial life form	Strong attachment	N	1	3.945	1.198
Gomphonema rosenstockianum	Macro	High profile	Colonial life form	Strong attachment	N	1	3.157	1.46
Gomphonema salae	Macro	High profile	Colonial life form	Strong attachment	N	1.964	3.242	1.314
Gomphonema simus	Macro	High profile	Colonial life form	Strong attachment	N	1.924	3.171	1.383
Gomphonema spp.	Macro	High profile	Colonial life form	Strong attachment	N	2.061	3.074	1.534
Gomphonema sparsistriatum	Macro	High profile	Colonial life form	Strong attachment	N	1.853	2.612	1.471
Gomphonema sphaerophorum	Macro	Low profile	Unicellular life form	Strong attachment	N	3	3.108	1.523
Gomphonema striatula	Macro	High profile	Colonial life form	Strong attachment	N	1.887	3.147	1.494
Gomphonema subbulbosum	Macro	High profile	Colonial life form	Strong attachment	N	2.185	3.452	1.567
Gomphonema subclavatum	Macro	High profile	Colonial life form	Strong attachment	N	1	3.146	1.441
Gomphonema tenellum	Macro	High profile	Colonial life form	Strong attachment	N	2	3.168	1.389
Gomphonema tergestinum	Macro	High profile	Colonial life form	Strong attachment	N	2	2	1
Gomphonema trancatum	Macro	High profile	Colonial life form	Strong attachment	N	2	3.006	1.561
Gomphonema truncatum	Macro	Motile	Unicellular life form	Medium attachment	N	2	4	2
Gomphonema turgidum	Macro	Motile	Unicellular life form	Strong attachment	N	1.924	2.896	1.237
Gomphonema turris	Macro	High profile	Colonial life form	Strong attachment	N	2	3.061	1.3
Gomphonema turris var. sinicum	Macro	High profile	Colonial life form	Strong attachment	N	2.036	2.742	1.465
Gomphonema vardarense	Macro	High profile	Colonial life form	Strong attachment	N	1.908	3.23	1.714
Gomphonema zellense	Macro	High profile	Colonial life form	Strong attachment	N	1.874	3.213	2.281
Gomphosinica spp.	Macro	High profile	Colonial life form	Strong attachment	N	1.924	3.014	1.466
Gomphosphenia biwaensis	Macro	High profile	Colonial life form	Strong attachment	N	4	3	2
Gomphosphenia holmquistii	Macro	High profile	Colonial life form	Strong attachment	N	4	3	2
Gomphosphenia lingulatiformis	Macro	Motile	Unicellular life form	Weak attachment	N	4	3	3
Gomphosphenia spp.	Macro	High profile	Colonial life form	Strong attachment	N	4	4	3
Grunowia solgensis	Nano	Motile	Unicellular life form	Unattached	N	3	4	1
Grunowia tabellaria	Micro	Motile	Unicellular life form	Unattached	N	3	4	1
Gyrosigma acuminatum	Macro	Motile	Unicellular life form	Unattached	N	2	5	3
Gyrosigma kuetzingii	Micro	Low profile	Unicellular life form	Weak attachment	N	2	5	3
Gyrosigma obtusatum	Large	Motile	Unicellular life form	Unattached	N	3.2	5	3
Gyrosigma proceum	Micro	Low profile	Unicellular life form	Weak attachment	N	2.489	5	3
Gyrosigma scalproides	Micro	Low profile	Unicellular life form	Weak attachment	N	3.2	5	3
Gyrosigma spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	2.506	5	3
Gyrosigma spencerii	Micro	Low profile	Unicellular life form	Weak attachment	N	2	5	3
Gyrosigma wormleyi	Micro	Low profile	Unicellular life form	Weak attachment	N	2.567	5	3
Halamphora acutiuscula	Meso	Low profile	Unicellular life form	Weak attachment	N	2.541	4.252	2.107
Halamphora auricularia	Meso	Low profile	Unicellular life form	Weak attachment	N	2.739	4.466	1.771
Halamphora bullatoides	Meso	Low profile	Unicellular life form	Weak attachment	N	2.282	4.053	1.529
Halamphora fontinalis	Meso	Low profile	Unicellular life form	Weak attachment	N	1.8	4.076	1.694
Halamphora latecostata	Meso	Motile	Unicellular life form	Unattached	N	3.697	4.425	2.124
Halamphora montana	Meso	Low profile	Unicellular life form	Weak attachment	N	3.2	5	1
Halamphora normanii	Meso	Motile	Unicellular life form	Weak attachment	N	1.8	3	1
Halamphora oligotraphenta	Meso	Motile	Unicellular life form	Weak attachment	N	1	4.346	1.769
Halamphora subsalina	Meso	Low profile	Unicellular life form	Weak attachment	N	2.64	4.435	1.763
Halamphora tenella	Meso	Low profile	Unicellular life form	Weak attachment	N	2.775	4.506	1.721
Halamphora veneta	Meso	Low profile	Unicellular life form	Weak attachment	N	5	5	3
Hannaea arcus	Macro	High profile	Unicellular life form	Weak attachment	N	1	2	1
Hannaea arcus var. amphioxys	Macro	High profile	Unicellular life form	Weak attachment	N	1	2	1
Hantzschia abundans	Meso	Motile	Unicellular life form	Weak attachment	N	4.8	7	2
Hantzschia amphioxys	Large	Motile	Unicellular life form	Unattached	N	4.5	7	2
Hantzschia amphioxys var. aequalis	Meso	Motile	Unicellular life form	Weak attachment	N	4.411	7	2
Hantzschia distinctepunctata	Meso	Motile	Unicellular life form	Weak attachment	N	3.8	7	2
Hantzschia elongaia	Meso	Motile	Unicellular life form	Weak attachment	N	4.452	7	2
Hantzschia spp.	Meso	Motile	Unicellular life form	Weak attachment	N	4.369	7	2
Haslea spicula	Micro	Low profile	Unicellular life form	Weak attachment	N	3.2	3	1
Hippodonta avittata	Micro	Low profile	Unicellular life form	Weak attachment	N	1.7	4	3
Hippodonta capitata	Micro	Motile	Unicellular life form	Unattached	N	2	4	3
Hippodonta hungarica	Micro	Motile	Unicellular life form	Unattached	N	2	4	3
Hippodonta linearis	Micro	Low profile	Unicellular life form	Weak attachment	N	2	4	3
Hippodonta pseudacceptata	Nano	Motile	Unicellular life form	Unattached	N	1.859	4	3
Humidophila contenta	Nano	Motile	Colonial life form	Unattached	N	3.48	5	2.4
Hydrosera whampoensis	Large	High profile	Unicellular life form	Weak attachment	N	4	3	1
Karayevia clevei	Macro	Low profile	Unicellular life form	Weak attachment	N	2	3	1
Karayevia oblongella	Macro	Low profile	Unicellular life form	Weak attachment	N	1.5	4	2
Lemnicola hungarica	Micro	Low profile	Unicellular life form	Weak attachment	N	4	6	4
Leptocylindrus aporus	Micro	Low profile	Unicellular life form	Weak attachment	N	1	3	1
Licmophora normaniana	Micro	Low profile	Unicellular life form	Weak attachment	N	2.378	5	1.808
Lindavia praetermissa	Large	High profile	Unicellular life form	Unattached	N	2.459	6.367	2.334
Luticola acidoclinata	Meso	High profile	Colonial life form	Strong attachment	N	1	5	2.773
Luticola australomutica	Meso	High profile	Colonial life form	Strong attachment	N	4	5	2.217
Luticola caubergsii	Meso	High profile	Colonial life form	Strong attachment	N	4	5	2.379
Luticola cohnii	Meso	High profile	Colonial life form	Strong attachment	N	4	5	2.046
Luticola goeppertiana	Meso	Low profile	Unicellular life form	Unattached	N	4	5	4
Luticola grupcei	Meso	High profile	Colonial life form	Strong attachment	N	3.891	5	1.762
Luticola hlubikovae	Meso	High profile	Colonial life form	Strong attachment	N	3.871	5	2.769
Luticola kotscbyi	Meso	High profile	Colonial life form	Strong attachment	N	3.389	5	2.482
Luticola mutica	Meso	High profile	Colonial life form	Strong attachment	N	4	5	2.208
Luticola nivalis	Meso	High profile	Colonial life form	Strong attachment	N	1	5	2.633
Luticola peguana	Meso	High profile	Colonial life form	Strong attachment	N	3.9	5	2.7
Luticola permuticopsis	Meso	High profile	Colonial life form	Strong attachment	N	3.54	5	2.385
Luticola pitranensis	Meso	High profile	Colonial life form	Strong attachment	N	3.839	5	2.314
Luticola plausibilis	Meso	High profile	Colonial life form	Strong attachment	N	2.355	5	2.421
Luticola scardica	Meso	High profile	Colonial life form	Strong attachment	N	3.882	5	1.968
Luticola spp.	Meso	High profile	Colonial life form	Strong attachment	N	3.119	5	2.774
Luticola subcrozetensis	Meso	High profile	Colonial life form	Strong attachment	N	3.813	5	2.189
Luticola terminata	Meso	High profile	Colonial life form	Strong attachment	N	4	5	2.514
Luticola ventriconfusa	Meso	High profile	Colonial life form	Strong attachment	N	4	5	2.46
Luticola ventricosa	Meso	Motile	Unicellular life form	Unattached	N	4	5	1
Mastogloia smithii var. amphicephala	Micro	Low profile	Unicellular life form	Weak attachment	N	1.479	2.495	1
Mastogloia spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	1.479	2.495	1
Mayamaea agrestis	Meso	High profile	Unicellular life form	Weak attachment	N	3	5.301	2.76
Mayamaea atomus	Meso	High profile	Unicellular life form	Weak attachment	N	3.358	6	2
Mayamaea ingenua	Meso	High profile	Unicellular life form	Weak attachment	N	3.5	5.206	3.312
Mayamaea permitis	Meso	High profile	Unicellular life form	Weak attachment	N	3.7	5	4
Melosira capsularum	Large	Motile	Unicellular life form	Weak attachment	N	2.033	5	3
Melosira italica	Large	Motile	Unicellular life form	Weak attachment	N	2.3	5	3
